#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=abr mbtree=1 bitrate=18407 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=22088 vbv_bufsize=36814 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:76 out:77 type:b dur:2 cpbdur:2 q:26.32 aq:27.80 tex:406724 mv:15093 misc:575 imb:539 pmb:942 smb:139 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:26.11 aq:25.93 tex:758109 mv:9796 misc:151 imb:796 pmb:824 smb:0 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:26.17 aq:27.02 tex:505330 mv:16255 misc:327 imb:588 pmb:1002 smb:30 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:26.17 aq:27.62 tex:419504 mv:15394 misc:550 imb:574 pmb:904 smb:142 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:26.17 aq:27.71 tex:423384 mv:15934 misc:522 imb:583 pmb:935 smb:102 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:26.07 aq:26.03 tex:743419 mv:10287 misc:150 imb:781 pmb:839 smb:0 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:26.11 aq:26.98 tex:527185 mv:17150 misc:361 imb:594 pmb:974 smb:52 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:26.11 aq:27.71 tex:454894 mv:18045 misc:389 imb:623 pmb:941 smb:56 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:26.11 aq:27.71 tex:429106 mv:15640 misc:566 imb:579 pmb:923 smb:118 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:26.06 aq:25.86 tex:764712 mv:10033 misc:167 imb:789 pmb:831 smb:0 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:26.07 aq:26.90 tex:537950 mv:17472 misc:370 imb:590 pmb:984 smb:46 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:26.07 aq:27.65 tex:437420 mv:16788 misc:568 imb:588 pmb:909 smb:123 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:26.07 aq:27.65 tex:429677 mv:14549 misc:574 imb:542 pmb:955 smb:123 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:26.03 aq:26.01 tex:722316 mv:9417 misc:211 imb:749 pmb:863 smb:8 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:26.06 aq:26.89 tex:516767 mv:16389 misc:364 imb:590 pmb:981 smb:49 d:- ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:26.06 aq:27.67 tex:416746 mv:15168 misc:574 imb:555 pmb:935 smb:130 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:26.06 aq:27.66 tex:423602 mv:15403 misc:491 imb:549 pmb:956 smb:115 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:25.95 aq:25.81 tex:773448 mv:10075 misc:165 imb:815 pmb:805 smb:0 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:26.02 aq:26.79 tex:537870 mv:17287 misc:339 imb:608 pmb:980 smb:32 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:26.03 aq:27.71 tex:435721 mv:16675 misc:460 imb:586 pmb:946 smb:88 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:26.02 aq:27.60 tex:440780 mv:16439 misc:453 imb:595 pmb:939 smb:86 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:25.97 aq:25.86 tex:756813 mv:9983 misc:164 imb:798 pmb:822 smb:0 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:25.97 aq:26.74 tex:539226 mv:16308 misc:354 imb:587 pmb:988 smb:45 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:25.97 aq:27.58 tex:444824 mv:17264 misc:472 imb:588 pmb:944 smb:88 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:25.97 aq:27.52 tex:436036 mv:15598 misc:494 imb:571 pmb:949 smb:100 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:25.92 aq:25.92 tex:770158 mv:9840 misc:154 imb:792 pmb:828 smb:0 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:25.97 aq:26.77 tex:530760 mv:15844 misc:316 imb:577 pmb:1014 smb:29 d:- ref:0 ;
